date,value,volume,open,close,name
2/17/2021,206,8832,207,206,SUU
2/18/2021,207.61,117496,206,207.61,SUU
2/19/2021,209.76,23553,207.61,209.76,SUU
2/22/2021,209.09,12600,209.76,209.09,SUU
2/23/2021,215,12928,209.09,215,SUU
2/24/2021,209.38,30639,215,209.38,SUU
2/25/2021,209.46,71220,209.38,209.46,SUU
2/26/2021,216,8591,209.46,216,SUU
3/1/2021,205.82,53213,216,205.82,SUU
3/2/2021,206.6,13112,205.82,206.6,SUU
3/3/2021,209.26,6408,206.6,209.26,SUU
3/4/2021,209.24,17154,209.26,209.24,SUU
3/5/2021,206.03,9731,209.24,206.03,SUU
3/9/2021,207.51,19007,206.03,207.51,SUU
3/10/2021,206.9,33101,207.51,206.9,SUU
3/11/2021,208.8,54074,206.9,208.8,SUU
3/12/2021,213.07,51894,208.8,213.07,SUU
3/15/2021,212.59,30033,213.07,212.59,SUU
3/16/2021,208.79,41849,212.59,208.79,SUU
3/17/2021,206.38,69604,208.79,206.38,SUU
3/18/2021,212.2,6650,206.38,212.2,SUU
3/19/2021,212.59,7628,212.2,212.59,SUU
3/22/2021,212.4,6656,212.59,212.4,SUU
3/23/2021,211.84,10757,212.4,211.84,SUU
3/24/2021,211.72,6495,211.84,211.72,SUU
3/25/2021,211.81,19534,211.72,211.81,SUU
3/26/2021,211.65,4600,211.81,211.65,SUU
3/29/2021,208.87,9888,211.65,208.87,SUU
3/30/2021,213,13492,208.87,213,SUU
3/31/2021,212.82,8735,213,212.82,SUU
4/1/2021,212.21,4401,212.82,212.21,SUU
4/2/2021,211.64,58715,212.21,211.64,SUU
4/5/2021,215,37306,211.64,215,SUU
4/6/2021,212.64,9636,215,212.64,SUU
4/7/2021,212.23,2679,212.64,212.23,SUU
4/7/2021,212.23,2679,212.23,212.23,SUU
4/8/2021,212,22619,212.23,212,SUU
4/9/2021,212.12,20202,212,212.12,SUU
4/12/2021,213.21,7673,212.12,213.21,SUU
4/13/2021,213,11458,213.21,213,SUU
